orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32f403zet6,artery::at32f403zet6,Artery,AT32,AT32F,AT32F403,AT32F403ZET6,AT32F403ZET6,ZET6,ZET6,,,LQFP144,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403zgt6,artery::at32f403zgt6,Artery,AT32,AT32F,AT32F403,AT32F403ZGT6,AT32F403ZGT6,ZGT6,ZGT6,,,LQFP144,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f405rct7,artery::at32f405rct7,Artery,AT32,AT32F,AT32F405,AT32F405RCT7,AT32F405RCT7,RCT7,RCT7,,,LQFP64,,,active,artery:cmsis:at32f405,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f405ret7,artery::at32f405ret7,Artery,AT32,AT32F,AT32F405,AT32F405RET7,AT32F405RET7,RET7,RET7,,,LQFP64,,,active,artery:cmsis:at32f405,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f405vct7,artery::at32f405vct7,Artery,AT32,AT32F,AT32F405,AT32F405VCT7,AT32F405VCT7,VCT7,VCT7,,,LQFP100,,,active,artery:cmsis:at32f405,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f405vet7,artery::at32f405vet7,Artery,AT32,AT32F,AT32F405,AT32F405VET7,AT32F405VET7,VET7,VET7,,,LQFP100,,,active,artery:cmsis:at32f405,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407avct7,artery::at32f407avct7,Artery,AT32,AT32F,AT32F407,AT32F407AVCT7,AT32F407AVCT7,AVCT7,VCT7,,,,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407avgt7,artery::at32f407avgt7,Artery,AT32,AT32F,AT32F407,AT32F407AVGT7,AT32F407AVGT7,AVGT7,VGT7,,,,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407rct7,artery::at32f407rct7,Artery,AT32,AT32F,AT32F407,AT32F407RCT7,AT32F407RCT7,RCT7,RCT7,,,LQFP64,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407ret7,artery::at32f407ret7,Artery,AT32,AT32F,AT32F407,AT32F407RET7,AT32F407RET7,RET7,RET7,,,LQFP64,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407rgt7,artery::at32f407rgt7,Artery,AT32,AT32F,AT32F407,AT32F407RGT7,AT32F407RGT7,RGT7,RGT7,,,LQFP64,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407vct7,artery::at32f407vct7,Artery,AT32,AT32F,AT32F407,AT32F407VCT7,AT32F407VCT7,VCT7,VCT7,,,LQFP100,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f407vet7,artery::at32f407vet7,Artery,AT32,AT32F,AT32F407,AT32F407VET7,AT32F407VET7,VET7,VET7,,,LQFP100,,,active,artery:cmsis:at32f407,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
